,Date_Time,Temperature,Action1,Humidity,Ammonia_Gas_Level,Action2,Light,Action3,Water_Level,Action4,Cleaning
253,02/04/2019 09:31 AM,33,FanOff,52,57,ExhFanOFF,177,LightOFF,60,PumpOff,ProcessOFF
254,02/04/2019 09:30 AM,33,FanOff,51,57,ExhFanOFF,233,LightOFF,60,PumpOff,ProcessOFF
255,02/04/2019 09:30 AM,33,FanOff,52,57,ExhFanOFF,215,LightOFF,60,PumpOff,ProcessOFF
256,02/04/2019 09:29 AM,33,FanOff,52,57,ExhFanOFF,223,LightOFF,60,PumpOff,ProcessOFF
257,02/04/2019 09:29 AM,33,FanOff,52,58,ExhFanOFF,79,LightOFF,60,PumpOff,ProcessOFF
258,02/04/2019 09:28 AM,33,FanOff,52,57,ExhFanOFF,45,LightOFF,60,PumpOff,ProcessOFF
259,02/04/2019 09:27 AM,33,FanOff,52,57,ExhFanOFF,139,LightOFF,60,PumpOff,ProcessOFF
260,02/04/2019 09:27 AM,33,FanOff,52,57,ExhFanOFF,44,LightOFF,60,PumpOff,ProcessOFF
261,02/04/2019 09:26 AM,33,FanOff,52,58,ExhFanOFF,50,LightOFF,60,PumpOff,ProcessOFF
262,02/04/2019 09:26 AM,33,FanOff,52,57,ExhFanOFF,222,LightOFF,60,PumpOff,ProcessOFF
263,02/04/2019 09:25 AM,33,FanOff,52,57,ExhFanOFF,173,LightOFF,60,PumpOff,ProcessOFF
264,02/04/2019 09:24 AM,33,FanOff,52,57,ExhFanOFF,178,LightOFF,60,PumpOff,ProcessOFF
265,02/04/2019 09:24 AM,33,FanOff,52,57,ExhFanOFF,129,LightOFF,60,PumpOff,ProcessOFF
266,02/04/2019 09:23 AM,33,FanOff,52,57,ExhFanOFF,39,LightOFF,60,PumpOff,ProcessOFF
267,02/04/2019 09:23 AM,33,FanOff,52,58,ExhFanOFF,234,LightOFF,60,PumpOff,ProcessOFF
268,02/04/2019 09:22 AM,33,FanOff,52,57,ExhFanOFF,43,LightOFF,60,PumpOff,ProcessOFF
269,02/04/2019 09:21 AM,33,FanOff,52,58,ExhFanOFF,189,LightOFF,60,PumpOff,ProcessOFF
270,02/04/2019 09:21 AM,33,FanOff,52,58,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
271,02/04/2019 09:20 AM,33,FanOff,52,58,ExhFanOFF,231,LightOFF,60,PumpOff,ProcessOFF
272,02/04/2019 09:20 AM,33,FanOff,52,58,ExhFanOFF,43,LightOFF,60,PumpOff,ProcessOFF
273,02/04/2019 09:19 AM,33,FanOff,52,58,ExhFanOFF,225,LightOFF,60,PumpOff,ProcessOFF
274,02/04/2019 09:18 AM,33,FanOff,52,58,ExhFanOFF,229,LightOFF,60,PumpOff,ProcessOFF
275,02/04/2019 09:18 AM,33,FanOff,52,58,ExhFanOFF,222,LightOFF,60,PumpOff,ProcessOFF
276,02/04/2019 09:17 AM,33,FanOff,52,58,ExhFanOFF,217,LightOFF,60,PumpOff,ProcessOFF
277,02/04/2019 09:17 AM,33,FanOff,52,58,ExhFanOFF,157,LightOFF,60,PumpOff,ProcessOFF
278,02/04/2019 09:16 AM,33,FanOff,52,58,ExhFanOFF,225,LightOFF,60,PumpOff,ProcessOFF
279,02/04/2019 09:16 AM,33,FanOff,52,58,ExhFanOFF,226,LightOFF,60,PumpOff,ProcessOFF
280,02/04/2019 09:15 AM,33,FanOff,52,58,ExhFanOFF,197,LightOFF,60,PumpOff,ProcessOFF
281,02/04/2019 09:14 AM,33,FanOff,52,58,ExhFanOFF,57,LightOFF,60,PumpOff,ProcessOFF
282,02/04/2019 09:14 AM,33,FanOff,52,58,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
283,02/04/2019 09:13 AM,33,FanOff,52,58,ExhFanOFF,40,LightOFF,60,PumpOff,ProcessOFF
284,02/04/2019 09:13 AM,33,FanOff,52,59,ExhFanOFF,231,LightOFF,60,PumpOff,ProcessOFF
285,02/04/2019 09:12 AM,33,FanOff,52,58,ExhFanOFF,53,LightOFF,60,PumpOff,ProcessOFF
286,02/04/2019 09:11 AM,33,FanOff,52,59,ExhFanOFF,235,LightOFF,60,PumpOff,ProcessOFF
287,02/04/2019 09:11 AM,33,FanOff,52,59,ExhFanOFF,221,LightOFF,60,PumpOff,ProcessOFF
288,02/04/2019 09:10 AM,33,FanOff,52,59,ExhFanOFF,60,LightOFF,60,PumpOff,ProcessOFF
289,02/04/2019 09:10 AM,33,FanOff,52,59,ExhFanOFF,115,LightOFF,60,PumpOff,ProcessOFF
290,02/04/2019 09:09 AM,33,FanOff,52,59,ExhFanOFF,50,LightOFF,60,PumpOff,ProcessOFF
291,02/04/2019 09:08 AM,33,FanOff,52,59,ExhFanOFF,41,LightOFF,60,PumpOff,ProcessOFF
292,02/04/2019 09:08 AM,33,FanOff,52,59,ExhFanOFF,115,LightOFF,60,PumpOff,ProcessOFF
293,02/04/2019 09:07 AM,33,FanOff,52,60,ExhFanOFF,42,LightOFF,60,PumpOff,ProcessOFF
